r;b;swpd;free;buff;cache;si;so;bi;bo;in;cs;us;sy;id;wa;st
1;0;1988;160684;24228;776184;3;10;2738;1233;184;661;7;5;88;0;0
0;0;1988;160684;24232;776220;0;0;8;0;111;432;3;0;97;0;0
0;0;1988;160012;24304;783232;0;0;7084;0;452;312;1;6;93;0;0
0;0;1988;159788;24316;783256;0;0;20;156;584;379;1;9;90;0;0
0;0;1988;159116;24316;783256;0;0;0;0;936;514;2;11;87;0;0
0;0;1988;157324;24316;783260;0;0;0;0;671;388;0;10;90;0;0
1;0;1988;157324;24316;783260;0;0;0;0;531;378;1;7;92;0;0
3;0;1988;157324;24316;783260;0;0;0;0;560;361;0;8;92;0;0
0;0;1988;157324;24324;783256;0;0;0;16;468;320;0;4;96;0;0
2;0;1988;156652;24324;783264;0;0;0;0;690;448;1;9;90;0;0
1;0;1988;156652;24324;783268;0;0;0;0;498;330;0;4;96;0;0
0;0;1988;156652;24324;783268;0;0;0;0;622;312;1;9;90;0;0
0;0;1988;156652;24324;783268;0;0;0;0;356;216;0;3;97;0;0
1;0;1988;156652;24324;783272;0;0;0;0;545;265;0;8;92;0;0
0;0;1988;156652;24332;783272;0;0;0;16;324;208;1;4;95;0;0
1;0;1988;156652;24332;783272;0;0;0;228;485;331;0;7;93;0;0
2;0;1988;122092;24332;783280;0;0;0;0;871;4576;31;27;43;0;0
0;0;1988;122092;24332;783280;0;0;0;0;684;825;2;10;88;0;0
0;0;1988;120972;24332;783280;0;0;0;0;842;920;1;9;90;0;0
0;0;1988;120780;24340;783280;0;0;0;32;577;582;1;6;93;0;0
0;0;1988;120780;24340;783284;0;0;0;340;414;374;0;5;95;0;0
1;0;1988;120780;24340;783284;0;0;0;0;410;331;1;4;95;0;0
0;0;1988;120780;24340;783284;0;0;0;0;553;397;0;8;92;0;0
0;0;1988;120780;24340;783284;0;0;0;0;310;329;0;3;97;0;0
0;0;1988;120780;24348;783288;0;0;0;36;525;443;1;7;92;0;0
0;0;1988;120780;24348;783288;0;0;0;372;411;377;0;7;93;0;0
0;0;1988;120780;24348;783288;0;0;0;0;184;254;1;0;99;0;0
1;0;1988;120780;24348;783288;0;0;0;0;524;325;1;8;91;0;0
0;0;1988;120780;24348;783292;0;0;0;0;606;337;0;8;92;0;0
0;0;1988;120780;24356;783292;0;0;0;24;244;324;0;2;98;0;0
0;0;1988;120780;24356;783292;0;0;0;0;428;339;1;5;94;0;0
0;0;1988;120780;24356;783296;0;0;0;12;287;299;0;5;95;0;0
1;0;1988;120780;24356;783296;0;0;0;0;454;385;1;7;92;0;0
0;0;1988;120780;24356;783296;0;0;0;0;322;311;0;5;95;0;0
0;0;1988;120780;24364;783296;0;0;0;24;576;406;0;8;92;0;0
0;0;1988;120780;24364;783300;0;0;0;0;392;372;1;6;93;0;0
0;0;1988;120556;24364;783308;0;0;0;48;544;411;1;6;93;0;0
0;0;1988;120556;24364;783308;0;0;0;0;375;369;1;5;94;0;0
2;0;1988;120556;24364;783308;0;0;0;0;305;329;0;5;95;0;0
0;0;1988;120556;24372;783312;0;0;0;24;468;370;2;4;94;0;0
0;0;1988;120556;24372;783312;0;0;0;0;385;384;1;6;93;0;0
0;0;1988;120556;24372;783312;0;0;0;0;334;355;2;5;93;0;0
0;0;1988;119660;24372;783312;0;0;0;0;618;375;1;10;89;0;0
0;0;1988;119660;24372;783316;0;0;0;0;505;326;0;9;91;0;0
0;0;1988;119660;24380;783316;0;0;0;20;412;354;1;7;92;0;0
0;0;1988;119660;24380;783316;0;0;0;0;684;413;1;10;89;0;0
1;0;1988;119660;24380;783320;0;0;0;0;402;327;1;6;93;0;0
0;0;1988;119660;24380;783320;0;0;0;0;542;341;1;9;90;0;0
0;0;1988;119660;24380;783320;0;0;0;0;435;367;1;7;92;0;0
0;0;1988;119660;24388;783324;0;0;0;16;187;268;0;0;100;0;0
0;0;1988;119660;24388;783328;0;0;0;0;326;302;0;4;96;0;0
0;0;1988;119660;24388;783328;0;0;0;44;559;401;1;9;90;0;0
1;0;1988;119660;24388;783328;0;0;0;0;379;368;0;5;95;0;0
0;0;1988;119660;24388;783328;0;0;0;0;421;355;2;5;93;0;0
0;0;1988;119660;24396;783324;0;0;0;28;311;312;0;4;96;0;0
0;0;1988;119660;24396;783332;0;0;0;0;428;288;0;7;93;0;0
0;0;1988;119660;24396;783332;0;0;0;0;397;327;1;3;96;0;0
0;0;1988;119660;24396;783332;0;0;0;0;430;330;1;8;91;0;0
0;0;1988;119660;24396;783336;0;0;0;0;425;387;1;4;95;0;0
0;0;1988;119660;24404;783336;0;0;0;16;441;334;1;6;92;1;0
0;0;1988;119660;24404;783336;0;0;0;0;514;354;0;4;96;0;0
0;0;1988;119660;24404;783340;0;0;0;0;262;262;0;3;97;0;0
2;0;1988;119212;24404;783340;0;0;0;0;428;299;0;7;93;0;0
0;0;1988;119212;24404;783340;0;0;0;0;607;423;1;9;90;0;0
0;0;1988;119212;24412;783332;0;0;0;16;443;373;0;9;91;0;0
0;0;1988;119212;24412;783344;0;0;0;0;389;360;0;6;94;0;0
0;0;1988;119212;24412;783344;0;0;0;44;514;424;1;9;90;0;0
2;0;1988;119212;24412;783344;0;0;0;0;542;385;0;9;91;0;0
0;0;1988;119212;24412;783344;0;0;0;0;440;348;1;10;89;0;0
0;0;1988;119212;24412;783348;0;0;0;0;265;325;1;3;96;0;0
0;0;1988;119212;24420;783348;0;0;0;40;391;349;1;5;94;0;0
1;0;1988;119212;24420;783348;0;0;0;0;254;294;0;3;97;0;0
0;0;1988;119212;24420;783352;0;0;0;0;613;392;1;8;91;0;0
0;0;1988;119212;24420;783352;0;0;0;0;463;334;1;8;91;0;0
0;0;1988;119212;24420;783352;0;0;0;0;435;341;0;5;95;0;0
0;0;1988;119212;24428;783352;0;0;0;16;319;287;1;4;95;0;0
0;0;1988;119212;24428;783356;0;0;0;0;426;356;1;7;92;0;0
0;0;1988;119212;24428;783356;0;0;0;0;205;284;1;3;96;0;0
0;0;1988;117868;24428;783356;0;0;0;0;557;418;0;9;91;0;0
0;0;1988;117868;24428;783356;0;0;0;0;569;292;0;9;91;0;0
0;0;1988;117868;24436;783360;0;0;0;16;411;293;0;6;94;0;0
0;0;1988;117868;24436;783360;0;0;0;0;574;407;0;11;89;0;0
0;0;1988;117868;24436;783360;0;0;0;0;316;364;0;6;94;0;0
0;0;1988;117868;24436;783360;0;0;0;0;230;299;0;1;99;0;0
0;0;1988;117868;24436;783364;0;0;0;0;587;440;1;8;91;0;0
2;0;1988;117868;24444;783364;0;0;0;16;401;350;0;5;95;0;0
0;0;1988;117868;24444;783364;0;0;0;0;209;293;2;2;96;0;0
1;0;1988;117868;24444;783368;0;0;0;120;410;356;1;6;93;0;0
0;0;1988;117868;24444;783368;0;0;0;0;561;407;0;9;91;0;0
0;0;1988;117868;24444;783368;0;0;0;0;409;365;1;6;93;0;0
0;0;1988;117868;24452;783368;0;0;0;24;420;332;0;4;96;0;0
3;0;1988;117868;24452;783372;0;0;0;0;338;290;1;5;94;0;0
0;0;1988;117868;24452;783372;0;0;0;0;494;387;0;7;93;0;0
0;0;1988;117868;24452;783372;0;0;0;0;472;417;1;9;90;0;0
0;0;1988;117868;24452;783376;0;0;0;0;248;301;0;1;99;0;0
0;0;1988;117868;24460;783376;0;0;0;16;549;330;1;8;91;0;0
1;0;1988;117868;24460;783376;0;0;0;0;491;401;0;9;91;0;0
0;0;1988;117868;24460;783376;0;0;0;40;489;393;1;7;92;0;0
0;0;1988;117868;24460;783376;0;0;0;0;315;299;0;4;96;0;0
0;0;1988;117868;24460;783380;0;0;0;0;463;369;0;7;93;0;0
1;0;1988;117868;24468;783384;0;0;0;24;361;356;1;5;94;0;0
0;0;1988;117868;24468;783384;0;0;0;0;400;354;0;5;95;0;0
0;0;1988;117868;24468;783388;0;0;0;0;910;522;0;14;86;0;0
0;0;1988;117868;24468;783392;0;0;0;0;865;397;1;12;87;0;0
0;0;1988;117868;24468;783392;0;0;0;0;919;397;1;15;84;0;0
0;0;1988;117868;24476;783396;0;0;0;16;954;464;1;16;83;0;0
2;0;1988;117868;24476;783400;0;0;0;0;789;369;0;13;87;0;0
0;0;1988;117868;24476;783404;0;0;0;0;1069;457;1;15;84;0;0
0;0;1988;117868;24476;783408;0;0;0;0;940;430;0;16;84;0;0
0;0;1988;117868;24476;783408;0;0;0;0;916;449;1;13;86;0;0
1;0;1988;117868;24484;783412;0;0;0;16;813;498;1;11;88;0;0
0;0;1988;117868;24484;783416;0;0;0;0;865;488;0;13;87;0;0
0;0;1988;117868;24484;783420;0;0;0;0;595;343;0;8;92;0;0
4;0;1988;117196;24484;783420;0;0;0;0;649;324;0;15;85;0;0
0;0;1988;115852;24484;783424;0;0;0;0;743;374;0;12;88;0;0
0;0;1988;115852;24492;783424;0;0;0;16;783;382;1;15;84;0;0
0;0;1988;115852;24492;783428;0;0;0;0;431;264;1;6;93;0;0
0;0;1988;115852;24492;783428;0;0;0;0;661;367;1;15;84;0;0
0;0;1988;115852;24492;783432;0;0;0;0;354;245;0;4;96;0;0
0;0;1988;115852;24492;783432;0;0;0;0;746;345;1;13;86;0;0
0;0;1988;115852;24500;783428;0;0;0;16;847;406;1;11;88;0;0
0;0;1988;115852;24500;783436;0;0;0;0;881;362;0;17;83;0;0
1;0;1988;115852;24500;783440;0;0;0;0;591;288;1;9;90;0;0
0;0;1988;115852;24500;783444;0;0;0;16;804;304;1;12;87;0;0
0;0;1988;115852;24500;783444;0;0;0;0;459;288;1;5;94;0;0
0;0;1988;115852;24508;783436;0;0;0;16;711;318;0;11;89;0;0
0;0;1988;115852;24508;783448;0;0;0;0;812;290;0;23;77;0;0
0;0;1988;115852;24508;783452;0;0;0;0;510;231;1;15;84;0;0
0;0;1988;115852;24508;783452;0;0;0;84;641;226;0;19;81;0;0
0;0;1988;115852;24516;783456;0;0;0;48;914;319;0;26;74;0;0
0;0;1988;115852;24516;783456;0;0;0;0;913;254;2;26;72;0;0
2;0;1988;115852;24516;783460;0;0;0;0;576;272;1;16;83;0;0
2;0;1988;115852;24516;783460;0;0;0;0;1008;287;1;34;65;0;0
3;0;1988;115852;24516;783464;0;0;0;0;932;292;0;32;68;0;0
0;0;1988;115852;24524;783456;0;0;0;48;718;241;1;21;78;0;0
0;0;1988;115852;24524;783468;0;0;0;0;1240;292;0;37;63;0;0
0;0;1988;115852;24532;783468;0;0;0;28;404;270;1;12;87;0;0
0;0;1988;115852;24532;783472;0;0;0;0;530;216;1;11;88;0;0
0;0;1988;115852;24532;783476;0;0;0;0;787;272;0;20;80;0;0
0;0;1988;115852;24532;783476;0;0;0;0;434;218;0;11;89;0;0
2;0;1988;115852;24532;783480;0;0;0;0;1019;265;0;33;67;0;0
2;0;1988;115852;24540;783480;0;0;0;16;852;300;2;27;71;0;0
1;0;1988;115852;24540;783484;0;0;0;0;634;246;1;16;83;0;0
0;0;1988;115852;24540;783484;0;0;0;0;556;225;1;15;84;0;0
1;0;1988;115852;24540;783488;0;0;0;0;1003;263;0;29;71;0;0
0;0;1988;111820;24540;783488;0;0;0;0;794;252;2;31;67;0;0
0;0;1988;111820;24548;783492;0;0;0;16;865;244;0;27;73;0;0
0;0;1988;111820;24548;783492;0;0;0;0;760;290;2;19;79;0;0
1;0;1988;111820;24548;783496;0;0;0;0;785;260;0;24;76;0;0
0;0;1988;111820;24548;783496;0;0;0;0;587;242;2;13;85;0;0
0;0;1988;111820;24548;783504;0;0;0;0;687;236;0;19;81;0;0
1;0;1988;111820;24556;783504;0;0;0;16;508;245;0;14;86;0;0
0;0;1988;111820;24556;783508;0;0;0;0;948;242;1;27;72;0;0
0;0;1988;111820;24556;783512;0;0;0;0;866;281;0;31;69;0;0
1;0;1988;111820;24556;783512;0;0;0;0;685;215;0;23;77;0;0
0;0;1988;111820;24556;783516;0;0;0;0;739;226;0;24;76;0;0
0;0;1988;111820;24564;783516;0;0;0;16;681;253;0;18;82;0;0
0;0;1988;111820;24564;783520;0;0;0;0;701;254;0;19;81;0;0
2;0;1988;111820;24564;783520;0;0;0;0;493;220;1;14;85;0;0
0;0;1988;111820;24564;783524;0;0;0;120;864;298;1;27;72;0;0
0;0;1988;111820;24564;783528;0;0;0;0;843;260;1;24;75;0;0
0;0;1988;111820;24572;783528;0;0;0;28;937;252;1;29;70;0;0
1;0;1988;111820;24572;783528;0;0;0;0;790;262;1;20;79;0;0
0;0;1988;111820;24572;783532;0;0;0;0;934;231;2;27;71;0;0
1;0;1988;111820;24572;783536;0;0;0;0;436;232;0;12;88;0;0
1;0;1988;111820;24572;783536;0;0;0;0;721;274;1;19;80;0;0
0;0;1988;111820;24580;783540;0;0;0;16;802;289;0;24;76;0;0
2;0;1988;111820;24580;783540;0;0;0;0;939;290;1;29;70;0;0
1;0;1988;111820;24580;783544;0;0;0;0;1147;310;1;33;66;0;0
1;0;1988;111820;24580;783544;0;0;0;0;799;381;1;18;81;0;0
0;0;1988;111820;24580;783548;0;0;0;0;382;226;1;8;91;0;0
0;0;1988;111820;24588;783540;0;0;0;16;1326;359;1;45;54;0;0
0;0;1988;111820;24588;783552;0;0;0;0;429;232;0;10;90;0;0
0;0;1988;111820;24588;783552;0;0;0;0;742;255;0;21;79;0;0
1;0;1988;111820;24588;783556;0;0;0;0;836;260;1;22;77;0;0
0;0;1988;111820;24588;783560;0;0;0;0;1085;269;2;34;64;0;0
2;0;1988;111820;24596;783552;0;0;0;16;526;234;0;14;86;0;0
0;0;1988;111820;24596;783564;0;0;0;0;1015;263;0;29;71;0;0
0;0;1988;111820;24596;783564;0;0;0;0;458;225;1;9;90;0;0
0;0;1988;111820;24596;783568;0;0;0;0;525;210;0;12;88;0;0
1;0;1988;111820;24596;783568;0;0;0;0;1118;324;1;49;50;0;0
0;0;1988;111820;24604;783564;0;0;0;16;632;232;1;18;81;0;0
1;0;1988;111820;24604;783572;0;0;0;0;809;249;0;23;77;0;0
0;0;1988;111820;24604;783576;0;0;0;0;992;271;0;31;69;0;0
0;0;1988;111820;24604;783576;0;0;0;0;764;249;0;20;80;0;0
3;0;1988;111820;24604;783580;0;0;0;0;936;257;0;31;69;0;0
0;0;1988;111820;24612;783572;0;0;0;16;1061;262;1;32;67;0;0
3;0;1988;111820;24612;783584;0;0;0;0;687;237;1;19;80;0;0
0;0;1988;111820;24612;783588;0;0;0;0;804;251;1;22;77;0;0
0;0;1988;111820;24612;783588;0;0;0;72;1046;309;0;28;72;0;0
0;0;1988;111820;24612;783592;0;0;0;0;756;242;0;21;79;0;0
1;0;1988;111820;24620;783584;0;0;0;24;954;255;0;30;70;0;0
1;0;1988;111820;24620;783596;0;0;0;0;901;252;2;26;72;0;0
1;0;1988;111820;24620;783596;0;0;0;0;767;245;0;20;80;0;0
0;0;1988;111820;24620;783600;0;0;0;16;953;263;0;26;74;0;0
1;0;1988;111820;24620;783600;0;0;0;0;661;226;0;17;83;0;0
0;0;1988;111820;24628;783596;0;0;0;16;1000;280;1;27;72;0;0
0;0;1988;111820;24628;783604;0;0;0;0;729;246;0;23;77;0;0
0;0;1988;111820;24628;783608;0;0;0;0;901;344;2;24;74;0;0
0;0;1988;111820;24628;783612;0;0;0;0;847;297;1;25;75;0;0
1;0;1988;111820;24628;783612;0;0;0;0;479;307;0;10;90;0;0
2;0;1988;111820;24628;783620;0;0;0;0;971;308;1;27;72;0;0
0;0;1988;111820;24636;783676;0;0;52;16;1164;421;1;40;59;0;0
2;0;1988;111820;24636;783676;0;0;0;0;1034;345;0;29;71;0;0
2;0;1988;111820;24636;783684;0;0;0;0;1270;383;1;38;61;0;0
0;0;1988;111820;24636;783688;0;0;0;0;949;366;1;27;72;0;0
0;0;1988;111820;24636;783692;0;0;0;0;1315;367;0;42;58;0;0
0;0;1988;111820;24644;783696;0;0;0;20;900;377;2;25;73;0;0
2;0;1988;111820;24644;783700;0;0;0;0;1271;379;0;41;59;0;0
0;0;1988;111820;24644;783704;0;0;0;0;1008;364;0;34;66;0;0
1;0;1988;111820;24644;783708;0;0;0;0;967;359;0;29;71;0;0
0;0;1988;111820;24644;783716;0;0;0;0;1041;345;2;29;69;0;0
0;0;1988;111820;24652;783716;0;0;0;16;1098;325;0;34;66;0;0
0;0;1988;111820;24652;783720;0;0;0;0;945;302;1;27;72;0;0
3;0;1988;111820;24652;783724;0;0;0;0;1224;301;1;36;63;0;0
0;0;1988;111820;24652;783728;0;0;0;0;990;273;0;30;70;0;0
0;0;1988;111820;24652;783732;0;0;0;0;737;284;1;19;80;0;0
0;0;1988;111820;24660;783736;0;0;0;16;965;305;0;29;71;0;0
0;0;1988;111820;24660;783736;0;0;0;0;755;294;1;20;79;0;0
1;0;1988;111568;24660;783740;0;0;0;0;891;291;1;25;74;0;0
1;0;1988;111568;24660;783744;0;0;0;104;1005;294;1;29;70;0;0
0;0;1988;111568;24660;783744;0;0;0;0;842;258;0;24;76;0;0
2;0;1988;111568;24668;783748;0;0;0;24;825;291;0;23;77;0;0
2;0;1988;111568;24668;783752;0;0;0;0;1202;299;0;40;60;0;0
3;0;1988;111568;24668;783756;0;0;0;0;848;296;1;22;77;0;0
1;0;1988;111568;24668;783760;0;0;0;8;896;267;1;23;76;0;0
2;0;1988;111568;24668;783764;0;0;0;0;1044;294;1;30;69;0;0
0;0;1988;111568;24676;783764;0;0;0;24;816;291;1;24;75;0;0
3;0;1988;111568;24676;783768;0;0;0;0;697;275;1;17;82;0;0
1;0;1988;111568;24676;783772;0;0;0;0;1034;306;1;30;69;0;0
0;0;1988;111568;24688;783780;0;0;4;64;1169;335;0;40;60;0;0
0;0;1988;111568;24688;783784;0;0;0;0;1009;270;0;29;71;0;0
5;0;1988;111568;24688;783788;0;0;0;0;1061;331;0;32;68;0;0
1;0;1988;111568;24688;783788;0;0;0;0;1079;268;1;31;68;0;0
0;0;1988;111568;24688;783792;0;0;0;0;903;302;1;28;71;0;0
0;0;1988;111316;24696;783800;0;0;0;48;931;287;1;26;73;0;0
2;0;1988;111316;24696;783804;0;0;0;0;835;306;0;25;75;0;0
0;0;1988;111316;24696;783804;0;0;0;0;1025;280;0;29;71;0;0
0;0;1988;111316;24696;783808;0;0;0;0;813;265;1;20;79;0;0
2;0;1988;111316;24696;783812;0;0;0;0;1018;297;0;37;63;0;0
1;0;1988;111316;24704;783816;0;0;0;16;682;306;1;17;82;0;0
0;0;1988;111316;24704;783820;0;0;0;0;809;280;0;21;79;0;0
0;0;1988;111316;24704;783820;0;0;0;0;659;295;1;15;84;0;0
1;0;1988;111316;24704;783824;0;0;0;0;748;261;1;22;77;0;0
1;0;1988;111316;24704;783828;0;0;0;0;1054;319;0;29;71;0;0
1;0;1988;111316;24712;783824;0;0;0;16;661;257;1;16;83;0;0
0;0;1988;111316;24712;783836;0;0;0;0;1264;347;0;41;59;0;0
3;0;1988;111316;24712;783836;0;0;0;0;1218;320;0;39;61;0;0
0;0;1988;111316;24712;783840;0;0;0;0;878;321;0;29;71;0;0
0;0;1988;111316;24712;783844;0;0;0;0;1115;320;0;39;61;0;0
2;0;1988;111316;24720;783848;0;0;0;16;876;312;0;24;76;0;0
0;0;1988;111316;24720;783856;0;0;0;100;1066;325;0;35;65;0;0
0;0;1988;111316;24720;783856;0;0;0;0;856;288;1;24;75;0;0
0;0;1988;111316;24720;783864;0;0;0;0;682;256;0;19;81;0;0
1;0;1988;111316;24720;783864;0;0;0;0;980;307;0;29;71;0;0
0;0;1988;111316;24728;783868;0;0;0;24;907;273;1;26;73;0;0
1;0;1988;111316;24728;783872;0;0;0;8;818;321;0;20;80;0;0
1;0;1988;111316;24728;783876;0;0;0;0;592;265;0;12;88;0;0
0;0;1988;111316;24728;783876;0;0;0;0;1231;329;0;37;63;0;0
0;0;1988;111316;24728;783880;0;0;0;0;1125;290;0;37;63;0;0
1;0;1988;111316;24736;783876;0;0;0;24;971;314;1;27;72;0;0
1;0;1988;111064;24736;783888;0;0;0;0;789;280;0;23;77;0;0
0;0;1988;111064;24736;783888;0;0;0;0;1191;313;0;33;67;0;0
0;0;1988;111064;24736;783892;0;0;0;0;704;278;1;20;79;0;0
0;0;1988;111064;24736;783896;0;0;0;0;915;341;0;30;70;0;0
1;0;1988;111064;24744;783892;0;0;0;16;971;312;0;28;72;0;0
3;0;1988;111064;24744;783904;0;0;0;40;1086;354;0;32;68;0;0
0;0;1988;111064;24744;783908;0;0;0;0;676;344;2;22;76;0;0
0;0;1988;110812;24744;783912;0;0;0;0;1030;342;1;35;64;0;0
0;0;1988;110812;24744;783912;0;0;0;0;1069;313;1;33;66;0;0
0;0;1988;110812;24752;783916;0;0;0;16;1124;361;0;39;61;0;0
0;0;1988;110560;24752;783920;0;0;0;0;1127;314;1;36;63;0;0
2;0;1988;110560;24752;783924;0;0;0;0;923;364;1;34;65;0;0
0;0;1988;110560;24752;783924;0;0;0;0;654;279;1;16;83;0;0
0;0;1988;110308;24752;783928;0;0;0;0;952;323;0;29;71;0;0
4;0;1988;110308;24760;783924;0;0;0;16;771;307;1;22;77;0;0
0;0;1988;110308;24760;783940;0;0;0;0;967;409;1;38;61;0;0
0;0;1988;110308;24760;783940;0;0;0;0;566;255;0;12;88;0;0
0;0;1988;110308;24760;783948;0;0;0;0;852;286;0;27;73;0;0
1;0;1988;110308;24760;783948;0;0;0;0;1219;306;0;35;65;0;0
0;0;1988;110308;24768;783944;0;0;0;16;974;331;0;30;70;0;0
0;0;1988;110308;24768;783956;0;0;0;104;710;262;1;15;84;0;0
1;0;1988;110308;24768;783956;0;0;0;0;997;317;0;32;68;0;0
1;0;1988;110308;24768;783964;0;0;0;0;514;250;1;10;89;0;0
1;0;1988;110308;24768;783964;0;0;0;0;1121;315;1;33;66;0;0
0;0;1988;110308;24776;783960;0;0;0;24;885;291;1;28;70;1;0
0;0;1988;110308;24776;783972;0;0;0;0;1399;320;0;42;58;0;0
3;0;1988;110308;24776;783976;0;0;0;0;1164;296;0;39;61;0;0
0;0;1988;110308;24776;783980;0;0;0;0;834;323;0;26;74;0;0
0;0;1988;110308;24776;783980;0;0;0;0;846;286;1;23;76;0;0
0;0;1988;110308;24784;783984;0;0;0;16;904;313;0;24;76;0;0
0;0;1988;110308;24784;783988;0;0;0;0;1248;296;1;38;61;0;0
0;0;1988;110308;24784;783992;0;0;0;4;813;336;0;27;73;0;0
0;0;1988;110308;24784;783992;0;0;0;0;556;265;1;10;89;0;0
1;0;1988;110308;24784;783996;0;0;0;0;1059;288;1;28;71;0;0
0;0;1988;110056;24792;783992;0;0;0;16;752;285;0;21;79;0;0
2;0;1988;110056;24792;784004;0;0;0;0;579;287;0;13;87;0;0
0;0;1988;110056;24792;784004;0;0;0;0;1277;297;1;40;59;0;0
0;0;1988;110056;24792;784012;0;0;0;0;790;333;0;20;80;0;0
0;0;1988;110056;24792;784012;0;0;0;0;1114;372;0;36;64;0;0
0;0;1988;110056;24800;784016;0;0;0;16;875;390;1;22;77;0;0
0;0;1988;110056;24800;784020;0;0;0;0;620;358;0;21;79;0;0
0;0;1988;110056;24800;784024;0;0;0;8;294;200;0;7;93;0;0
0;0;1988;110056;24800;784024;0;0;0;0;35;71;0;0;100;0;0
0;0;1988;110056;24800;784024;0;0;0;0;60;106;1;0;99;0;0
